ITEM NO.,PART NUMBER,DESCRIPTION,QTY.
1,Head Holder,,8
2,Arm Rod,,8
3,M8.Nut,,245
4,Arm Center,,4
5,Arm Axis Rod,,4
6,R Gear,,4
7,M3x16.Bolt.91290A120,,24
8,Extruder Mount Plate,,4
9,M4x30.Bolt.91280A148,,8
10,M4.Nut.90591A141,,8
11,Level 1 Corner,,4
12,608RS Bearing,,36
13,608 Bearing Cap,,21
14,M3x20.Bolt.91290A123,,80
15,M3.Nut.90591A121,,104
16,Top Rod,,20
17,Level 2 Corner,,4
18,R Motor Mount,,6
19,Base,,7
20,Cuerpo,,7
21,Tapa,,7
22,B18.6.7M - M3 x 0.5 x 5 Type I Cross Recessed PHMS --5N,,28
23,Eje,,7
24,AFBMA 12.1.4.1 - 0050-11 - 10,SI,NC,10_68,,14
25,M3x10.Bolt.91290A115,,28
26,Motor.Sprocket,,7
27,Theta Center,,1
28,M3x30.Bolt.91290A130,,4
29,Level Z Corner,,4
30,Linear Bearing Body,,8
31,Linear Bearing inside,,8
32,Platter Rod,,4
33,Theta Motor Mount,,1
34,Platter Top,,1
35,Platter Bottom,,1
36,M3x16.Countersunk.Bolt.91294A134,,4
37,Platter Axle,,1
38,M8.Washer.91455A130,,8
39,Theta Gear,,1
40,Platter Roller Mount High,,1
41,M8x20.Bolt.91310A533,,3
42,Platter Roller Mount Low,,2
43,Level 4 Corner,,4
44,Z Smooth Rod,,8
45,Z Rod,,4
46,Z.Rod.Sprocket.a_6z51-036df0610,,4
47,Smooth Rod Clamp,,16
48,Z Tensioner Mount,,4
49,M8x55.Bolt.91310A548,,4
50,Belt1-1,,1
