ITEM NO.,PART NUMBER,DESCRIPTION,QTY.
1,Head Holder,,8
2,Arm Rod,,8
3,M8.Nut,,149
4,Arm Center,,4
5,Arm Axis Rod,,4
6,R Gear,,4
7,M3x16.Bolt.91290A120,,172
8,Extruder Mount Plate,,4
9,M4x30.Bolt.91280A148,,8
10,M4.Nut.90591A141,,8
11,Level 1 Corner,,8
12,608RS Bearing,,36
13,608 Bearing Cap,,1
14,M3.Nut.90591A121,,172
15,R Motor Mount,,4
16,Base,,7
17,Cuerpo,,7
18,Tapa,,7
19,B18.6.7M - M3 x 0.5 x 5 Type I Cross Recessed PHMS --5N,,28
20,Eje,,7
21,AFBMA 12.1.4.1 - 0050-11 - 10,SI,NC,10_68,,14
22,M3x10.Bolt.91290A115,,28
23,Motor.Sprocket,,7
24,Theta Center,,1
25,M3x30.Bolt.91290A130,,4
26,Level Z Corner,,4
27,Linear Bearing Body,,8
28,Linear Bearing inside,,8
29,Platter Rod,,4
30,Theta Motor Mount,,1
31,Platter Top,,1
32,Platter Bottom,,1
33,M3x16.Countersunk.Bolt.91294A134,,4
34,Platter Axle,,1
35,M8.Washer.91455A130,,8
36,Theta Gear,,1
37,Platter Roller Mount High,,1
38,M8x20.Bolt.91310A533,,3
39,Platter Roller Mount Low,,2
40,Level 4 Corner,,4
41,Z Smooth Rod,,8
42,Z Rod,,4
43,Z.Rod.Sprocket.a_6z51-036df0610,,4
44,Smooth Rod Clamp,,16
45,Belt1-1,,1
46,Level 1 Side,,1
47,Level 2 Side,,1
48,Level 4 Side,,1
49,M8x30.Bolt.91310A536,,4
50,Side 1,,2
51,Side 2,,2
52,91166A210,,8
